Name|ClaimNumber|Date|Amount|ID|Hidden
James Bond|409853945|1/1/1984|45|1|
Peter|5345435435|2/1/2021|546|2|
Steve|543645346|3/1/1984|556|3|
Bill|7756|4/1/1987|764|4|
Scott|40845954|5/1/1984|565|5|
Ben|55663|6/1/1989|776|6|
Jay|45435435|7/1/1984|5667|7|
Smith|453464|30/12/2016|56456|8|
Dr. Jacob|4366563674|31/12/2016|34324|9|
Will Smith|3465764|1/1/2017|56546|10|
William |543345435|5/7/1996|6456|11|
Tim|43554356456|6/7/1996|56643|12|
Tom|5654647465|7/7/1996|54353|13|
Matt|6457677|8/7/1996|5334.88|14|
Joran|534534P43|9/7/1996|55.8766|15|
Hiot|534534P44|10/7/1996|6.343247|16|
Ji Pi|534534P45|11/7/1996|3454543|17|
Kelly|534534P46|12/7/1996|455445|18|
Stella|534534P47|13/7/1996|6543534|19|
"William, Jr"|534534P48|14/7/1996|435656|20|
Lauren|534534P49|15/7/1996|45345.7|21|
Marget|453464|16/7/1996|345435|22|
Pluto|4366563674|17/7/1996|4534542|23|
Dr. Jacob|4366563674|31/12/2016|34324|24|
Tim|43554356456|6/7/1996|56643|12|
